4800520000000,Tomi Super Sweet Corn,Stateline Snack Food Corporation,Market! Market!,P 44,/sdcard/ImageAndroid/Tomi_Super_Sweet_Corn.jpg,14.549993,121.055654
4800050000000,Isopropyl Alcohol 40% Solution 500 mL,Green Cross Incorporated,Market! Market!,P 42,/sdcard/ImageAndroid/10007937.png,14.549993,121.055654
4800050000000,Great Taste White Crema,Universal Robina Corporation,SM Aura,P 15,/sdcard/ImageAndroid/1.png,14.546312,121.054129
4800520000000,Colgate Plax Ice Infinity Mouthwash,Colgate Palmolive Philippines,SM Aura,P 29,/sdcard/ImageAndroid/3.jpg,14.546312,121.054129
4800050000000,Fix Professional Clay Doh Lite,Scentral Laboratories Inc,Uptown Mall,P 99,/sdcard/ImageAndroid/4.jpg,14.556318,121.054627
4800520000000,Nestle Fresh Milk 1 L,Nestle,Uptown Mall,P 79,/sdcard/ImageAndroid/2.jpeg,15.556318,122.054627
4800050000000,Potato Chips V-Cut Spicy Barbecue,Jack N’ Jill,Glorietta 5,P 30,/sdcard/ImageAndroid/5.jpg,14.551767,121.027136
4800520000000,Chippy Original Flavor,Jack N’ Jill,Glorietta 5,P 25,/sdcard/ImageAndroid/6.jpg,15.551767,122.027136
4800050000000,Coke Soda Can 250 mL,Coca Cola,Greenbelt,P 30,/sdcard/ImageAndroid/8.jpg,14.552392,121.020041
4800520000000,Koko Krunch Breakfast Cereal,Nestle,7 Eleven 26th St,P 80,/sdcard/ImageAndroid/7.png,14.549266,121.045715
4800520000000,Alcoplus Isopropyl Alcohol 60 mL,Alcoplus,7 Eleven 26th St,P 20,/sdcard/ImageAndroid/alcoplus.jpg,15.549266,122.045715
4800050000000,Band-Aid Isopropyl Alcohol 70% 250 mL,Band-Aid ,7 Eleven RCBC Tower,P 29,/sdcard/ImageAndroid/bandaid.jpeg,14.54855,124.054129
4800520000000,Biogenic Isopropyl Alcohol 70% 250 mL,Biogenic,7 Eleven RCBC Tower,P 25,/sdcard/ImageAndroid/biogenic.jpg,14.54855,124.054129
4800050000000,Casino Ethyl Alcohol 70% 500 mL,Casino,SM Makati,P 45,/sdcard/ImageAndroid/casino.png,14.549669,121.026415
4800520000000,Family Rubbing Alcohol,Family,SM Makati,P 40,/sdcard/ImageAndroid/family.jpeg,15.549669,122.026415
4800520000000,Black Greenbag Lite,Black,SM Megamall,P 10,/sdcard/ImageAndroid/bag.jpg,14.584855,121.057036
